kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kab. Indramayu,Bawang Merah,2021,1115.1770000000001,183.3,6.083889798145117
Kab. Indramayu,Bawang Merah,2022,789.75,153.5,5.144951140065147
Kab. Indramayu,Bawang Merah,2023,2081.02,236.36,8.804450837705195
Kab. Indramayu,Bawang Merah,2024,2272.085,291.17,7.803293608544836
Kab. Karawang,Bawang Merah,2015,0.0,,
Kab. Karawang,Bawang Merah,2016,0.0,,
Kab. Karawang,Bawang Merah,2017,0.2,9.0,0.022222222222222223
Kab. Karawang,Bawang Merah,2018,33.0,4.0,8.25
Kab. Karawang,Bawang Merah,2019,48.5,7.0,6.928571428571429
Kab. Karawang,Bawang Merah,2020,33.0,5.0,6.6
Kab. Karawang,Bawang Merah,2021,0.0,,
Kab. Karawang,Bawang Merah,2022,2.0,0.5,4.0
Kab. Karawang,Bawang Merah,2023,0.0,,
Kab. Karawang,Bawang Merah,2024,0.0,,
Kab. Kuningan,Bawang Merah,2015,3235.3,333.0,9.715615615615617
Kab. Kuningan,Bawang Merah,2016,3109.0,318.0,9.776729559748428
Kab. Kuningan,Bawang Merah,2017,3582.8,172.0,20.830232558139535
Kab. Kuningan,Bawang Merah,2018,2717.0,275.0,9.88
Kab. Kuningan,Bawang Merah,2019,4444.2,426.0,10.432394366197183
Kab. Kuningan,Bawang Merah,2020,2713.0,266.0,10.199248120300751
Kab. Kuningan,Bawang Merah,2021,2671.8,270.0,9.895555555555557
Kab. Kuningan,Bawang Merah,2022,2911.1,304.0,9.575986842105262
Kab. Kuningan,Bawang Merah,2023,3207.9,300.0,10.693
Kab. Kuningan,Bawang Merah,2024,3956.3,365.0,10.839178082191781
Kab. Majalengka,Bawang Merah,2015,32408.2,2696.0,12.020845697329378
Kab. Majalengka,Bawang Merah,2016,32329.2,3344.0,9.667822966507178
Kab. Majalengka,Bawang Merah,2017,37705.3,959.0,39.31730969760167
Kab. Majalengka,Bawang Merah,2018,31980.6,2676.0,11.950896860986546
Kab. Majalengka,Bawang Merah,2019,37973.1,2943.0,12.902854230377166
Kab. Majalengka,Bawang Merah,2020,35166.8,2742.0,12.825237053245807
Kab. Majalengka,Bawang Merah,2021,34068.3,2873.0,11.858092586146887
Kab. Majalengka,Bawang Merah,2022,33319.2,2573.0,12.94955305091333
Kab. Majalengka,Bawang Merah,2023,35811.176,2882.5,12.423651691240243
Kab. Majalengka,Bawang Merah,2024,31978.25,2671.0,11.972388618494946
Kab. Pangandaran,Bawang Merah,2015,0.0,,
Kab. Pangandaran,Bawang Merah,2016,0.0,,
Kab. Pangandaran,Bawang Merah,2017,8.0,19.0,0.42105263157894735
Kab. Pangandaran,Bawang Merah,2018,1.0,2.0,0.5
Kab. Pangandaran,Bawang Merah,2019,11.5,2.0,5.75
Kab. Pangandaran,Bawang Merah,2020,78.3,12.0,6.5249999999999995
Kab. Pangandaran,Bawang Merah,2021,14.5,5.0,2.9
Kab. Pangandaran,Bawang Merah,2022,20.1,4.0,5.025
Kab. Pangandaran,Bawang Merah,2023,49.4,7.0,7.057142857142857
Kab. Pangandaran,Bawang Merah,2024,94.7,23.0,4.1173913043478265
Kab. Purwakarta,Bawang Merah,2015,0.0,,
Kab. Purwakarta,Bawang Merah,2016,0.0,,
Kab. Purwakarta,Bawang Merah,2017,0.0,238.0,0.0
Kab. Purwakarta,Bawang Merah,2018,0.0,,
Kab. Purwakarta,Bawang Merah,2019,0.0,,
Kab. Purwakarta,Bawang Merah,2020,0.0,,
Kab. Purwakarta,Bawang Merah,2021,130.9,40.0,3.2725
Kab. Purwakarta,Bawang Merah,2022,136.4,24.0,5.683333333333334
Kab. Purwakarta,Bawang Merah,2023,62.9,14.5,4.337931034482758
Kab. Purwakarta,Bawang Merah,2024,7.5,2.0,3.75
Kab. Subang,Bawang Merah,2015,0.0,,
Kab. Subang,Bawang Merah,2016,116.0,8.0,14.5
Kab. Subang,Bawang Merah,2017,257.5,369.0,0.6978319783197832
Kab. Subang,Bawang Merah,2018,285.0,21.0,13.571428571428571
Kab. Subang,Bawang Merah,2019,375.8,34.0,11.052941176470588
Kab. Subang,Bawang Merah,2020,256.8,34.0,7.552941176470589
Kab. Subang,Bawang Merah,2021,854.4,68.0,12.564705882352941
Kab. Subang,Bawang Merah,2022,675.8,74.2,9.107816711590296
Kab. Subang,Bawang Merah,2023,495.0,43.0,11.511627906976743
Kab. Subang,Bawang Merah,2024,423.56000000000006,35.0,12.101714285714287
Kab. Sukabumi,Bawang Merah,2015,395.8,37.0,10.697297297297297
Kab. Sukabumi,Bawang Merah,2016,907.8,74.0,12.267567567567568
Kab. Sukabumi,Bawang Merah,2017,1169.0,1245.0,0.9389558232931727
Kab. Sukabumi,Bawang Merah,2018,928.0,91.0,10.197802197802197
Kab. Sukabumi,Bawang Merah,2019,355.0,62.0,5.725806451612903
Kab. Sukabumi,Bawang Merah,2020,607.8,68.0,8.938235294117646
Kab. Sukabumi,Bawang Merah,2021,1086.0,114.0,9.526315789473685
Kab. Sukabumi,Bawang Merah,2022,332.9,46.5,7.159139784946236
Kab. Sukabumi,Bawang Merah,2023,523.1,55.27,9.464447258910802
Kab. Sukabumi,Bawang Merah,2024,399.2,119.1,3.351805205709488
Kab. Sumedang,Bawang Merah,2015,178.3,26.0,6.857692307692308
Kab. Sumedang,Bawang Merah,2016,174.2,32.0,5.44375
Kab. Sumedang,Bawang Merah,2017,328.0,515.0,0.6368932038834951
Kab. Sumedang,Bawang Merah,2018,229.5,41.0,5.597560975609756
Kab. Sumedang,Bawang Merah,2019,327.7,48.0,6.827083333333333
Kab. Sumedang,Bawang Merah,2020,681.9,92.0,7.41195652173913
Kab. Sumedang,Bawang Merah,2021,521.3,59.0,8.835593220338982
Kab. Sumedang,Bawang Merah,2022,752.27,83.0,9.063493975903615
Kab. Sumedang,Bawang Merah,2023,702.0,79.0,8.886075949367088
Kab. Sumedang,Bawang Merah,2024,1635.775,136.0,12.027757352941178
Kab. Tasikmalaya,Bawang Merah,2015,15.0,1.0,15.0
Kab. Tasikmalaya,Bawang Merah,2016,65.5,5.0,13.1
Kab. Tasikmalaya,Bawang Merah,2017,26.4,2003.0,0.013180229655516724
Kab. Tasikmalaya,Bawang Merah,2018,89.6,23.0,3.895652173913043
Kab. Tasikmalaya,Bawang Merah,2019,100.5,21.0,4.785714285714286
Kab. Tasikmalaya,Bawang Merah,2020,140.1,28.0,5.003571428571428
Kab. Tasikmalaya,Bawang Merah,2021,132.1,23.0,5.743478260869565
Kab. Tasikmalaya,Bawang Merah,2022,122.30499999999999,21.6,5.662268518518518
Kab. Tasikmalaya,Bawang Merah,2023,47.2,8.5,5.552941176470589
Kab. Tasikmalaya,Bawang Merah,2024,29.855,6.3,4.738888888888889
Kota Bandung,Bawang Merah,2015,0.0,,
Kota Bandung,Bawang Merah,2016,0.0,,
Kota Bandung,Bawang Merah,2017,0.0,6.0,0.0
Kota Bandung,Bawang Merah,2018,0.0,,
Kota Bandung,Bawang Merah,2019,0.0,,
Kota Bandung,Bawang Merah,2020,0.0,,
Kota Bandung,Bawang Merah,2021,0.0,,
Kota Bandung,Bawang Merah,2022,0.4,2.0,0.2
Kota Bandung,Bawang Merah,2023,49.704,4.17,11.919424460431655
Kota Bandung,Bawang Merah,2024,127.923,12.68,10.088564668769717
Kota Banjar,Bawang Merah,2015,0.0,,
Kota Banjar,Bawang Merah,2016,0.0,,
Kota Banjar,Bawang Merah,2017,0.0,10.0,0.0
Kota Banjar,Bawang Merah,2018,0.0,,
Kota Banjar,Bawang Merah,2019,22.7,3.0,7.566666666666666
Kota Banjar,Bawang Merah,2020,42.0,4.0,10.5
Kota Banjar,Bawang Merah,2021,41.0,4.0,10.25
Kota Banjar,Bawang Merah,2022,38.0,4.0,9.5
Kota Banjar,Bawang Merah,2023,19.0,2.0,9.5
Kota Banjar,Bawang Merah,2024,32.0,4.0,8.0
Kota Bekasi,Bawang Merah,2015,0.0,,
Kota Bekasi,Bawang Merah,2016,0.0,,
Kota Bekasi,Bawang Merah,2017,0.0,6.0,0.0
Kota Bekasi,Bawang Merah,2018,0.0,,
Kota Bekasi,Bawang Merah,2019,0.0,,
Kota Bekasi,Bawang Merah,2020,0.0,,
Kota Bekasi,Bawang Merah,2021,0.0,,
Kota Bekasi,Bawang Merah,2022,0.0,,
Kota Bekasi,Bawang Merah,2023,0.0,,
Kota Bekasi,Bawang Merah,2024,0.0,,
Kota Bogor,Bawang Merah,2015,0.0,,
Kota Bogor,Bawang Merah,2016,0.0,,
Kota Bogor,Bawang Merah,2017,0.0,20.0,0.0
Kota Bogor,Bawang Merah,2018,0.0,,
Kota Bogor,Bawang Merah,2019,0.0,,
Kota Bogor,Bawang Merah,2020,0.0,,
Kota Bogor,Bawang Merah,2021,0.0,,
Kota Bogor,Bawang Merah,2022,0.0,,
Kota Bogor,Bawang Merah,2023,19.0,2.0,9.5
Kota Bogor,Bawang Merah,2024,0.0,,
Kota Cimahi,Bawang Merah,2015,0.0,,
Kota Cimahi,Bawang Merah,2016,0.0,,
Kota Cimahi,Bawang Merah,2017,0.0,1.0,0.0
Kota Cimahi,Bawang Merah,2018,0.0,,
Kota Cimahi,Bawang Merah,2019,0.0,,
Kota Cimahi,Bawang Merah,2020,0.0,,
Kota Cimahi,Bawang Merah,2021,0.0,,
Kota Cimahi,Bawang Merah,2022,0.0,,
Kota Cimahi,Bawang Merah,2023,0.0,,
Kota Cimahi,Bawang Merah,2024,3.16,1.08,2.925925925925926
Kota Cirebon,Bawang Merah,2015,0.0,,
Kota Cirebon,Bawang Merah,2016,0.0,,
Kota Cirebon,Bawang Merah,2017,45.0,,
Kota Cirebon,Bawang Merah,2018,100.8,8.0,12.6
Kota Cirebon,Bawang Merah,2019,205.3,25.0,8.212
Kota Cirebon,Bawang Merah,2020,82.0,9.0,9.11111111111111
Kota Cirebon,Bawang Merah,2021,23.0,6.0,3.8333333333333335
Kota Cirebon,Bawang Merah,2022,83.0,7.0,11.857142857142858
Kota Cirebon,Bawang Merah,2023,70.0,5.0,14.0
Kota Cirebon,Bawang Merah,2024,126.0,10.0,12.6
Kota Depok,Bawang Merah,2015,0.0,,
Kota Depok,Bawang Merah,2016,0.0,,
Kota Depok,Bawang Merah,2017,0.0,,
Kota Depok,Bawang Merah,2018,0.0,,
Kota Depok,Bawang Merah,2019,0.0,,
Kota Depok,Bawang Merah,2020,0.0,,
Kota Depok,Bawang Merah,2021,0.0,,
Kota Depok,Bawang Merah,2022,0.0,,
Kota Depok,Bawang Merah,2023,0.0,,
Kota Depok,Bawang Merah,2024,0.16,0.01,16.0
Kota Sukabumi,Bawang Merah,2015,0.0,,
Kota Sukabumi,Bawang Merah,2016,0.0,,
Kota Sukabumi,Bawang Merah,2017,0.0,12.0,0.0
Kota Sukabumi,Bawang Merah,2018,50.0,5.0,10.0
Kota Sukabumi,Bawang Merah,2019,5.0,1.0,5.0
