kabupaten,rtup_hortikultura_st2023,total_luas_panen_8jenis_sayuran_ha_2024,rata2_ha_per_rtup_sayuran,luas_panen_cabai_bawang_ha_2024,estimasi_unit_lahan_cabai_bawang
Kab. Tasikmalaya,139929,1703.0,0.0122,884.6,72684
Kab. Garut,181873,35395.0,0.1946,11765.0,60453
Kab. Cianjur,125800,12121.5,0.0964,2990.0,31031
Kab. Majalengka,47510,5952.0,0.1253,3838.0,30636
Kab. Bandung,70082,29066.0,0.4147,11895.0,28680
Kab. Cirebon,21366,3599.0,0.1684,3578.0,21241
Kab. Sumedang,47823,1923.0,0.0402,837.0,20815
Kota Sukabumi,1179,20.7,0.0176,11.63,662
