kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2021,,5759.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2022,,5041.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2023,,4546.0,
Kab. Bandung,Cabai (Gabungan Rawit+Besar),2024,,4884.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2015,,1257.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2016,,1976.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2018,,3005.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2019,,2487.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2020,,1758.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2021,,2387.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2022,,2994.0,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2023,,2706.5,
Kab. Cianjur,Cabai (Gabungan Rawit+Besar),2024,,2919.8,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2015,,398.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2016,,694.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2018,,671.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2019,,655.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2020,,713.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2021,,631.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2022,,680.0,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2023,,374.25,
Kab. Cirebon,Cabai (Gabungan Rawit+Besar),2024,,373.5,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2015,,5625.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2016,,6001.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2018,,7206.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2019,,6680.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2020,,6646.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2021,,7018.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2022,,7672.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2023,,6902.0,
Kab. Garut,Cabai (Gabungan Rawit+Besar),2024,,8009.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2015,,1233.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2016,,1251.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2018,,918.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2019,,852.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2020,,669.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2021,,571.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2022,,503.0,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2023,,620.5,
Kab. Majalengka,Cabai (Gabungan Rawit+Besar),2024,,1167.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2015,,449.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2016,,462.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2017,,,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2018,,471.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2019,,581.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2020,,606.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2021,,464.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2022,,515.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2023,,676.0,
Kab. Sumedang,Cabai (Gabungan Rawit+Besar),2024,,701.0,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2015,,1434.0,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2016,,1344.0,
Kab. Tasikmalaya,Cabai (Gabungan Rawit+Besar),2017,,,
