date,province,regency,market,commodity,price_type_id,price_type,nominal_price
2024-03-29,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-01,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-02,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-03,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-04,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-05,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-08,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-09,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-10,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-11,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-12,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-15,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-16,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-17,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-18,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-19,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-22,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-23,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-24,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,52500.0
2024-04-25,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-04-26,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-04-29,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-04-30,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-01,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-02,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-03,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-06,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-07,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-08,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-09,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-10,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-13,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-14,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-15,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-16,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-17,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-20,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-21,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-22,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-23,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-24,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,43750.0
2024-05-27,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
